dataset,sequence_id,category,num_frames,priority,pick_rank,num_frames,median_area_ratio,min_area_ratio,max_area_ratio,scale_variation,aspect_ratio_variation,center_motion,normalized_motion,small_object,fast_motion,occlusion
localvids,dataset4__bird1,bird,2437,0.91007,0,2437.0,,,,0.22597,0.46858,15.77336,0.42659,,0.86601,
localvids,dataset5__car1_s,car1_s,1475,0.81411,1,1475.0,0.00339,0.00077,0.06738,0.72203,0.17879,5.21832,0.08657,0.94182,0.28196,
localvids,dataset5__bird1_3,bird1,865,0.86817,2,865.0,0.00181,0.00017,0.0051,0.21383,0.40908,17.28933,0.47188,0.95751,0.98401,
localvids,dataset1__motorcycle,motorcycle,801,0.78341,3,801.0,0.00425,0.00049,0.08233,0.59176,0.3996,4.67809,0.09595,0.93484,0.24575,
localvids,dataset2__SkateBoarding4,SkateBoarding,201,0.77686,4,201.0,0.0025,0.00072,0.00703,0.30459,0.26236,8.46385,0.21165,0.95,0.7824,
localvids,dataset1__plane,plane,358,0.76071,5,358.0,0.01023,0.00011,0.1671,0.6283,0.43952,1.99624,0.04524,0.89888,0.25132,
localvids,dataset5__uav1_3,uav1,997,0.83872,6,997.0,0.00083,0.00014,0.00354,0.36036,0.28258,3.89501,0.26948,0.97113,0.73598,
localvids,dataset3__basketball_player1_1-n,basketball_player1_1-n,312,0.75233,7,312.0,0.00024,0.00011,0.00036,0.10831,0.37349,4.52753,0.32274,0.98451,0.72333,
localvids,dataset2__ChasingDrones,ChasingDrones,212,0.75194,8,212.0,0.00171,0.00059,0.00311,0.18592,0.16832,12.48342,0.35044,0.95866,0.91534,
localvids,dataset5__uav5,uav,139,1.0,9,139.0,0.00068,0.00031,0.02639,0.75824,0.04637,5.54107,0.32521,0.97398,1.12691,
localvids,dataset3__basketball_player2,basketball_player,1302,0.82193,10,1302.0,0.00011,1e-05,0.00024,0.16142,0.42558,2.55494,0.25605,0.98938,0.70449,
localvids,dataset3__car9_1,car9,1745,0.72815,11,1745.0,0.00107,0.00029,0.00586,0.40187,0.34257,1.65013,0.04817,0.96724,0.12199,
localvids,dataset3__truck_night,truck_night,1032,0.72177,12,1032.0,0.00306,0.00013,0.01031,0.45786,0.41903,2.47106,0.04453,0.94468,0.11853,
localvids,dataset3__basketball_player1_2-n,basketball_player1_2-n,1567,0.71378,13,1567.0,0.0006,0.00017,0.00163,0.21914,0.34755,2.6308,0.11479,0.97546,0.31183,
localvids,dataset3__duck1_2,duck1,1551,0.73058,14,1551.0,0.00046,4e-05,0.00079,0.16234,0.34074,3.36755,0.16864,0.97865,0.45011,
localvids,dataset3__uav3_2,uav3,1208,0.70687,15,1208.0,0.00047,0.00014,0.00102,0.19773,0.18405,3.46862,0.17097,0.97827,0.51626,
localvids,dataset3__bell_tower,bell_tower,2061,0.69305,16,2061.0,0.00836,0.00396,0.02374,0.3048,0.56948,1.8037,0.01747,0.90859,0.05121,
localvids,dataset5__car4_s,car4_s,830,0.69167,17,830.0,0.00826,0.00178,0.0825,0.57642,0.20456,4.76511,0.05851,0.90912,0.19966,
localvids,dataset2__BMX3,BMX,121,0.73003,18,121.0,0.00779,0.00321,0.0631,0.52317,0.53911,10.25454,0.09364,0.91172,0.17479,
localvids,dataset3__car1-n,car1-n,1291,0.67253,19,1291.0,0.00122,0.0006,0.00326,0.15895,0.37355,2.93212,0.08555,0.96514,0.28819,
localvids,dataset3__bike4_1,bike4,686,0.69154,20,686.0,0.00032,4e-05,0.00062,0.14718,0.4551,2.43914,0.18488,0.98199,0.32241,
localvids,dataset2__Basketball,Basketball,427,0.66132,21,427.0,0.00095,0.00047,0.00129,0.07731,0.13602,3.4506,0.1222,0.9691,0.69751,
localvids,dataset3__group1,group,1321,0.93183,22,1321.0,0.00173,7e-05,0.17131,0.93018,0.37753,4.91362,0.08086,0.95836,0.20342,
localvids,dataset2__Sheep1,Sheep,391,0.65986,23,391.0,0.00315,0.00111,0.00931,0.29132,0.35743,4.90212,0.0999,0.94387,0.26925,
localvids,dataset3__car5,car,2625,0.94143,24,2625.0,0.00096,0.00016,0.03717,0.83102,0.44444,1.29655,0.03558,0.96906,0.0948,
localvids,dataset2__StreetBasketball1,StreetBasketball,241,0.79586,25,241.0,0.00095,0.00055,0.0013,0.08994,0.12828,10.50842,0.36054,0.9691,1.21009,
localvids,dataset3__group4_1,group4,299,0.67557,26,299.0,0.01041,0.00104,0.05859,0.39042,0.17429,31.86722,0.24172,0.89798,0.53414,
localvids,dataset2__Gull1,Gull,120,0.65531,27,120.0,0.0025,0.00132,0.00626,0.17265,0.28538,10.14818,0.19528,0.94995,0.50301,
localvids,dataset3__football_player2_2,football_player2,1173,0.67198,28,1173.0,0.00033,0.00012,0.00075,0.10808,0.28511,2.63856,0.14586,0.98172,0.40458,
localvids,dataset5__person7_1,person7,1249,0.63088,29,1249.0,0.0056,0.00218,0.01564,0.15765,0.37752,7.22564,0.09726,0.92517,0.26894,
localvids,dataset3__sand_truck-n,sand_truck-n,829,0.61954,30,829.0,0.00559,0.00291,0.01234,0.19033,0.51206,2.53802,0.035,0.92524,0.10773,
localvids,dataset4__bike1,bike,3085,0.78203,31,3085.0,,,,0.53469,0.28216,2.53699,0.02815,,0.06438,
localvids,dataset3__football_player1_2,football_player1,1202,0.74592,32,1202.0,0.00044,0.0001,0.00146,0.26518,0.32273,3.03281,0.15937,0.97909,0.4301,
localvids,dataset3__car2-n,car2-n,489,0.61122,33,489.0,0.00137,0.00059,0.00315,0.22202,0.23827,3.33536,0.09118,0.96302,0.22535,
localvids,dataset2__Walking,Walking,395,0.6104,34,395.0,0.00276,0.0007,0.00444,0.28887,0.09506,3.19517,0.0703,0.94742,0.33531,
localvids,dataset2__Skiing2,Skiing,178,0.62762,35,178.0,0.00526,0.00114,0.01357,0.33098,0.32862,6.00226,0.10183,0.92745,0.20718,
localvids,dataset5__car1_3,car1,1003,0.65974,36,1003.0,0.0018,0.00069,0.00395,0.22206,0.52752,2.25761,0.06063,0.95761,0.06762,
