row_index,key,dataset,seq_name,annotation_source,evaluation_mode,frame_count,ground_truth_frames,scored_frames,matched_prediction_frames,sequence_id,auc,norm_precision,accuracy_score,total_lost_frames,video_path,annotation_path,match_type,local_label,warning,error
0,dataset1/basketball,dataset1,basketball,none,unscored,324,0,0,324,dataset1__basketball,,,,66,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\basketball\basketball.mp4,,unmatched,,,
1,dataset1/basketball_2,dataset1,basketball_2,none,unscored,184,0,0,184,dataset1__basketball_2,,,,21,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\basketball_2\basketball_2.mp4,,unmatched,,,
2,dataset1/basketball_3,dataset1,basketball_3,none,unscored,181,0,0,181,dataset1__basketball_3,,,,56,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\basketball_3\basketball_3.mp4,,unmatched,,,
3,dataset1/Car_video,dataset1,Car_video,none,unscored,585,0,0,585,dataset1__Car_video,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video\Car_video.mp4,,unmatched,,,
4,dataset1/Car_video_2,dataset1,Car_video_2,aic,unscored,0,0,0,0,dataset1__Car_video_2,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video_2\Car_video_2.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video_2\annotation.txt,unmatched,,,
5,dataset1/Car_video_3,dataset1,Car_video_3,aic,unscored,0,0,0,0,dataset1__Car_video_3,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video_3\Car_video_3.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video_3\annotation.txt,unmatched,,,
6,dataset1/Car_video_4,dataset1,Car_video_4,none,unscored,415,0,0,415,dataset1__Car_video_4,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\Car_video_4\Car_video_4.mp4,,unmatched,,,
7,dataset1/cows,dataset1,cows,none,unscored,489,0,0,489,dataset1__cows,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\cows\cows.mp4,,unmatched,,,
8,dataset1/horse_4,dataset1,horse_4,aic,unscored,0,0,0,0,dataset1__horse_4,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\horse_4\horse_4.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\horse_4\annotation.txt,unmatched,,,
9,dataset1/horse_6,dataset1,horse_6,aic,unscored,0,0,0,0,dataset1__horse_6,,,,0,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\horse_6\horse_6.mp4,C:\Users\yousif\Documents\AIC Data\aic-data\dataset1\horse_6\annotation.txt,unmatched,,,
